FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 20-Mar-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	exp_param_set_MATURE_190320.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
GFPkif5a-g06_w597_STACK__outline.txt	Cell_3	43864	0	175	161	161
GFPkif5a-g06_w597_STACK__outline.txt	Cell_4	16381	0	1	1	1
GFPkif5a-g07_w597_STACK__outline.txt	Cell_1	38955	0	130	122	122
GFPkif5a-g07_w597_STACK__outline.txt	Cell_4	23121	0	1	1	1
GFPkif5a-g07_w597_STACK__outline.txt	Cell_5	40976	0	455	417	417
GFPkif5a-g07_w597_STACK__outline.txt	Cell_6	35933	0	3	3	3
GFPkif5a-g08_w597_STACK__outline.txt	Cell_1	40551.5	0	66	65	65
GFPkif5a-g08_w597_STACK__outline.txt	Cell_2	31836.5	0	1	1	1
GFPkif5a-g09_w597_STACK__outline.txt	Cell_1	68099.5	0	238	226	226
GFPkif5a-g09_w597_STACK__outline.txt	Cell_2	35004.5	0	0	0	0
GFPkif5a-g09_w597_STACK__outline.txt	Cell_3	63815	0	194	127	127
GFPkif5a-g09_w597_STACK__outline.txt	Cell_4	28768.5	0	1	1	1
GFPkif5a-g10_w597_STACK__outline.txt	Cell_1	62877	0	61	53	53
GFPkif5a-g10_w597_STACK__outline.txt	Cell_2	26984.5	0	0	0	0
GFPkif5a-g11_w597_STACK__outline.txt	Cell_1	43973	0	156	152	152
GFPkif5a-g11_w597_STACK__outline.txt	Cell_2	25406	0	0	0	0
RGGblank01_w597_STACK__outline.txt	Cell_1	50362.5	0	4	2	2
RGGblank01_w597_STACK__outline.txt	Cell_2	32348	0	1	1	1
RGGblank02_w597_STACK__outline.txt	Cell_1	62377.5	0	895	846	846
RGGblank02_w597_STACK__outline.txt	Cell_2	54304	0	46	45	45
RGGblank03_w597_STACK__outline.txt	Cell_1	52713	0	34	34	34
RGGblank03_w597_STACK__outline.txt	Cell_2	41744.5	0	0	0	0
RGGblank04_w597_STACK__outline.txt	Cell_1	59764	0	520	490	490
RGGblank04_w597_STACK__outline.txt	Cell_2	32176	0	13	13	13
RGGblank05_w597_STACK__outline.txt	Cell_1	38851	0	352	302	302
RGGblank05_w597_STACK__outline.txt	Cell_2	30268.5	0	4	4	4
RGGblank06_w597_STACK__outline.txt	Cell_1	101903	0	1623	1463	1463
RGGblank06_w597_STACK__outline.txt	Cell_2	53370	0	24	24	24
RGGblank07_w597_STACK__outline.txt	Cell_1	49461	0	12	11	11
RGGblank07_w597_STACK__outline.txt	Cell_2	35736.5	0	4	4	4
RGGblank08_w597_STACK__outline.txt	Cell_1	37840.5	0	477	416	416
RGGblank08_w597_STACK__outline.txt	Cell_2	22273	0	4	4	4
RGGblank08_w597_STACK__outline.txt	Cell_3	35845.5	0	82	79	79
RGGblank08_w597_STACK__outline.txt	Cell_4	24465.5	0	2	2	2
RGGblank09_w597_STACK__outline.txt	Cell_1	66966.5	0	365	342	342
RGGblank09_w597_STACK__outline.txt	Cell_2	37161.5	0	2	2	2
RGGblank10_w597_STACK__outline.txt	Cell_1	49648.5	0	463	421	421
RGGblank10_w597_STACK__outline.txt	Cell_2	27604.5	0	3	3	3
RGGkif5a01_w597_STACK__outline.txt	Cell_1	57597	0	665	533	533
RGGkif5a01_w597_STACK__outline.txt	Cell_2	27066.5	0	14	14	14
RGGkif5a02_w597_STACK__outline.txt	Cell_1	114306	0	342	227	227
RGGkif5a02_w597_STACK__outline.txt	Cell_2	55345	0	4	4	4
RGGkif5a03_w597_STACK__outline.txt	Cell_1	60769	0	37	32	32
RGGkif5a03_w597_STACK__outline.txt	Cell_2	33342	0	10	10	10
RGGkif5a03_w597_STACK__outline.txt	Cell_3	79924	0	61	48	48
RGGkif5a03_w597_STACK__outline.txt	Cell_4	45937.5	0	29	26	26
RGGkif5a04_w597_STACK__outline.txt	Cell_1	43723.5	0	15	13	13
RGGkif5a04_w597_STACK__outline.txt	Cell_2	48602.5	0	6	5	5
RGGkif5a04_w597_STACK__outline.txt	Cell_3	34536	0	26	21	21
RGGkif5a04_w597_STACK__outline.txt	Cell_4	40879.5	0	7	5	5
RGGkif5a05_w597_STACK__outline.txt	Cell_1	40157.5	0	69	59	59
RGGkif5a05_w597_STACK__outline.txt	Cell_2	44160.5	0	5	4	4
RGGkif5a07_w597_STACK__outline.txt	Cell_1	45058.5	0	1274	1015	1015
RGGkif5a07_w597_STACK__outline.txt	Cell_2	56940.5	0	20	20	20
RGGkif5a07_w597_STACK__outline.txt	Cell_3	57415	0	1529	1248	1248
RGGkif5a07_w597_STACK__outline.txt	Cell_4	28179.5	0	37	37	37
RGGkif5a08_w597_STACK__outline.txt	Cell_1	32128.5	0	106	88	88
RGGkif5a08_w597_STACK__outline.txt	Cell_2	33909.5	0	1	1	1
RGGkif5a09_w597_STACK__outline.txt	Cell_1	49567.5	0	443	413	413
RGGkif5a09_w597_STACK__outline.txt	Cell_2	29079.5	0	14	14	14
RGGkif5a09_w597_STACK__outline.txt	Cell_3	49751	0	705	656	656
RGGkif5a09_w597_STACK__outline.txt	Cell_4	31235	0	17	17	17
RGGkif5a10_w597_STACK__outline.txt	Cell_2	39940	0	27	22	22
RGGkif5a10_w597_STACK__outline.txt	Cell_3	39650	0	424	294	294
RGGkif5a11_w597_STACK__outline.txt	Cell_1	53185	0	1037	955	955
RGGkif5a11_w597_STACK__outline.txt	Cell_2	31100.5	0	17	17	17
RGGkif5a12_w597_STACK__outline.txt	Cell_1	78617.5	0	104	86	86
RGGkif5a12_w597_STACK__outline.txt	Cell_2	31826.5	0	1	1	1
RGGkif5a-g01_w597_STACK__outline.txt	Cell_1	62514.5	0	674	612	612
RGGkif5a-g01_w597_STACK__outline.txt	Cell_2	33780.5	0	18	14	14
