FILE,CELL,AREA_cell,AREA_nuc,N_total,N_thres_Total,N_thres_Nuc
RGGblank03_w597_STACK__outline.txt,Cell_2,41744.5,0,0,0,0
RGGblank04_w597_STACK__outline.txt,Cell_1,59764,0,120,74,74
RGGblank04_w597_STACK__outline.txt,Cell_2,32176,0,8,8,8
RGGblank05_w597_STACK__outline.txt,Cell_1,38851,0,51,29,29
RGGblank05_w597_STACK__outline.txt,Cell_2,30268.5,0,0,0,0
RGGblank06_w597_STACK__outline.txt,Cell_1,101903,0,442,237,237
RGGblank06_w597_STACK__outline.txt,Cell_2,53370,0,3,1,1
RGGblank07_w597_STACK__outline.txt,Cell_1,49461,0,0,0,0
RGGblank07_w597_STACK__outline.txt,Cell_2,35736.5,0,0,0,0
RGGblank08_w597_STACK__outline.txt,Cell_1,37840.5,0,52,26,26
RGGblank08_w597_STACK__outline.txt,Cell_2,22273,0,0,0,0
RGGblank08_w597_STACK__outline.txt,Cell_3,35845.5,0,1,1,1
RGGblank08_w597_STACK__outline.txt,Cell_4,24465.5,0,0,0,0
RGGblank09_w597_STACK__outline.txt,Cell_1,66966.5,0,12,6,6
RGGblank09_w597_STACK__outline.txt,Cell_2,37161.5,0,0,0,0
RGGblank10_w597_STACK__outline.txt,Cell_1,49648.5,0,27,18,18
RGGblank10_w597_STACK__outline.txt,Cell_2,27604.5,0,0,0,0
RGGkif5a01_w597_STACK__outline.txt,Cell_1,57597,0,416,296,296
RGGkif5a01_w597_STACK__outline.txt,Cell_2,27066.5,0,14,11,11
RGGkif5a02_w597_STACK__outline.txt,Cell_1,114306,0,14,5,5
RGGkif5a02_w597_STACK__outline.txt,Cell_2,55345,0,0,0,0
RGGkif5a03_w597_STACK__outline.txt,Cell_1,60769,0,1,1,1
RGGkif5a03_w597_STACK__outline.txt,Cell_2,33342,0,0,0,0
RGGkif5a03_w597_STACK__outline.txt,Cell_3,79924,0,1,0,0
RGGkif5a03_w597_STACK__outline.txt,Cell_4,45937.5,0,0,0,0
RGGkif5a04_w597_STACK__outline.txt,Cell_1,43723.5,0,1,0,0
RGGkif5a04_w597_STACK__outline.txt,Cell_2,48602.5,0,0,0,0
RGGkif5a04_w597_STACK__outline.txt,Cell_3,34536,0,0,0,0
RGGkif5a04_w597_STACK__outline.txt,Cell_4,40879.5,0,0,0,0
RGGkif5a05_w597_STACK__outline.txt,Cell_1,40157.5,0,2,1,1
RGGkif5a05_w597_STACK__outline.txt,Cell_2,44160.5,0,0,0,0
RGGkif5a07_w597_STACK__outline.txt,Cell_1,45058.5,0,1045,389,389
RGGkif5a07_w597_STACK__outline.txt,Cell_2,56940.5,0,19,17,17
RGGkif5a07_w597_STACK__outline.txt,Cell_3,57415,0,1323,486,486
RGGkif5a07_w597_STACK__outline.txt,Cell_4,28179.5,0,36,30,30
RGGkif5a08_w597_STACK__outline.txt,Cell_1,32128.5,0,0,0,0
RGGkif5a08_w597_STACK__outline.txt,Cell_2,33909.5,0,0,0,0
RGGkif5a09_w597_STACK__outline.txt,Cell_1,49567.5,0,310,231,231
RGGkif5a09_w597_STACK__outline.txt,Cell_2,29079.5,0,13,13,13
RGGkif5a09_w597_STACK__outline.txt,Cell_3,49751,0,513,314,314
RGGkif5a09_w597_STACK__outline.txt,Cell_4,31235,0,16,15,15
RGGkif5a10_w597_STACK__outline.txt,Cell_2,39940,0,12,11,11
RGGkif5a10_w597_STACK__outline.txt,Cell_3,39650,0,175,124,124
RGGkif5a11_w597_STACK__outline.txt,Cell_1,53185,0,742,423,423
RGGkif5a11_w597_STACK__outline.txt,Cell_2,31100.5,0,8,7,7
RGGkif5a12_w597_STACK__outline.txt,Cell_1,78617.5,0,9,7,7
RGGkif5a12_w597_STACK__outline.txt,Cell_2,31826.5,0,1,1,1
RGGkif5a-g01_w597_STACK__outline.txt,Cell_1,62514.5,0,422,266,266
RGGkif5a-g01_w597_STACK__outline.txt,Cell_2,33780.5,0,4,3,3
RGGkif5a-g02_w597_STACK__outline.txt,Cell_1,32816.5,0,65,47,47
RGGkif5a-g02_w597_STACK__outline.txt,Cell_2,57152,0,2,2,2
RGGkif5a-g03_w597_STACK__outline.txt,Cell_1,84079,0,55,49,49
RGGkif5a-g03_w597_STACK__outline.txt,Cell_2,27348.5,0,0,0,0
RGGkif5a-g04_w597_STACK__outline.txt,Cell_1,49656.5,0,6,5,5
RGGkif5a-g04_w597_STACK__outline.txt,Cell_2,48319.5,0,1,1,1
RGGkif5a-g05_w597_STACK__outline.txt,Cell_1,59922,0,242,186,186
RGGkif5a-g05_w597_STACK__outline.txt,Cell_2,33497.5,0,0,0,0
RGGkif5a-g06_w597_STACK__outline.txt,Cell_1,50999.5,0,112,85,85
RGGkif5a-g06_w597_STACK__outline.txt,Cell_2,13278,0,0,0,0
RGGkif5a-g06_w597_STACK__outline.txt,Cell_3,55539,0,278,208,208
RGGkif5a-g06_w597_STACK__outline.txt,Cell_4,47951.5,0,7,7,7
RGGkif5a-g07_w597_STACK__outline.txt,Cell_1,58700.5,0,461,262,262
